tempo,mfccs_mean,mfccs_std,emotion
117.45383522727273,"[-124.923225   109.07363     -4.490919    34.07203     11.659098
   21.483885     9.313407    16.55061      7.5754557    9.968756
    2.1825435    6.483823     3.313611 ]","[45.701935  20.20407    8.483509   7.0048513  6.2624297  5.8567624
  5.067226   5.4977036  4.5387926  5.144346   4.355997   4.957054
  4.964158 ]",angry
129.19921875,"[-119.99591    124.09436      8.686971    29.992851   -24.864384
   17.144573    -1.8682426   13.252242   -15.946326    -4.540426
   -2.7251458    3.553056     1.5718882]","[25.110554  17.282108  11.103741  10.4539995 11.68726   10.497271
  5.9013033  7.884004   7.3550034  7.174497   5.1154933  6.8769913
  5.636345 ]",angry
95.703125,"[-104.35289     146.2852        0.43632805   28.335037      4.2707067
   12.323997     -3.991669     -1.2830162    -5.829794     -4.514717
   -6.397147     -0.5211506    -4.8506737 ]","[72.413925  42.320152  10.97566    8.675163   7.33649    6.962597
  5.2177224  5.7364087  6.081995   6.765098   5.5046396  6.4781094
  4.8107505]",angry
99.38401442307692,"[-88.75683   127.33282     1.9212376  50.615036    6.9545116  17.05602
   3.663875   10.049998    6.169732    6.0285883  -1.4280379   4.0882664
  -2.5150533]","[56.737095  35.107224  15.221391   8.093103   6.812048   5.646678
  5.125332   4.49701    4.3476353  4.008005   3.8786447  3.9501884
  4.1993074]",angry
129.19921875,"[-80.60316   129.90013   -18.944101   33.60654     9.488758   19.15451
   8.580741   12.537116    1.3650119  10.39418     5.2883954  10.840144
   4.2131   ]","[29.974121  18.362347  14.976893   6.8110023  5.9619355  5.5895963
  4.7993865  4.833027   4.5935283  4.5107846  4.861893   4.3093596
  4.2422376]",angry
117.45383522727273,"[-152.66512     102.401695      0.6983757    42.059544      2.5999658
   20.575008      4.645571     12.845635     -3.3581824     6.4201355
   -3.6856089     7.1431046    -0.39247674]","[43.636765  21.658768  12.851883  11.619137   6.9500422  7.725202
  7.513758   7.256458   6.0095663  6.9044657  6.073121   5.3484263
  5.5554943]",angry
92.28515625,"[-193.18121    146.42474    -18.446644    31.229813    16.9878
   16.04118      8.630235    13.637758     8.969827     8.397653
    2.0994723    4.755376     4.6381288]","[66.99332   29.08366   12.073969   9.813064   9.919035   7.931013
  5.5321555  6.3830733  4.747314   5.6609516  5.058672   5.4804435
  5.2349095]",angry
184.5703125,"[-138.99391     40.02945    -29.989532    40.610104    18.42171
   20.31573    -10.855095   -10.430466   -20.78371    -14.619288
  -13.86372     -7.1809196  -13.524753 ]","[53.690186  18.387949   9.529615   8.739648   6.6156874  6.136602
  5.6257997  5.1436715  5.6946244  7.289706   6.107717   5.47687
  6.231328 ]",angry
143.5546875,"[-129.16747    113.01134    -10.573005    29.055624     3.9726865
    2.6213882   -7.48274      2.0865102   -5.9757967    1.2006704
   -6.9974594   -0.9576245   -3.3582292]","[53.220886  23.84432   17.532465   9.2357     7.4764247  6.149937
  5.5243115  4.5511103  4.637016   4.5209117  5.38384    4.833893
  4.5064297]",angry
129.19921875,"[-156.3505     145.37471    -21.077671    44.8022       3.9061995
   11.777302    -3.750714     7.0038276   -4.409754    -0.7909117
   -5.6722245   -4.56897     -5.7870836]","[54.99104   19.5765    13.633408   7.5760913  8.143749   6.257592
  5.9640236  5.075642   5.127432   5.1393743  5.8311124  5.7160044
  5.5492845]",angry
99.38401442307692,"[-2.6816990e+01  7.1915489e+01  1.3014383e+01  2.3368227e+01
  9.7434902e+00  1.3069104e+01  1.2103403e+00  5.3985772e+00
 -2.7347095e+00  1.3262434e+00 -2.7880063e+00  3.0641701e-02
 -3.3062799e+00]","[27.919544  16.680794   7.773157   5.8652277  5.729062   5.3286066
  4.906153   5.397104   4.504317   4.235056   4.558689   4.3533225
  4.0689526]",angry
89.10290948275862,"[-142.89398     129.32553       0.18474719   50.668545     14.919659
   15.370735     14.205145     14.749543      8.418643     10.679513
    2.503663      3.8649173     1.1516125 ]","[102.63897    13.876482   32.21903     7.2881255   5.721407    6.833922
   5.757097    5.4073057   5.034086    5.3878713   6.8091574   5.004929
   4.7561054]",angry
